type,Varianten der Bevölkerungsvorausberechnung,Geschlecht,Altersjahre,31.12.2022,Unnamed: 5,31.12.2023,Unnamed: 7,31.12.2024,Unnamed: 9,31.12.2025,Unnamed: 11,31.12.2026,Unnamed: 13,31.12.2027,Unnamed: 15,31.12.2028,Unnamed: 17,31.12.2029,Unnamed: 19,31.12.2030,Unnamed: 21,31.12.2031,Unnamed: 23,31.12.2032,Unnamed: 25,31.12.2033,Unnamed: 27,31.12.2034,Unnamed: 29,31.12.2035,Unnamed: 31,31.12.2036,Unnamed: 33,31.12.2037,Unnamed: 35,31.12.2038,Unnamed: 37,31.12.2039,Unnamed: 39,31.12.2040,Unnamed: 41,31.12.2041,Unnamed: 43,31.12.2042,Unnamed: 45,31.12.2043,Unnamed: 47,31.12.2044,Unnamed: 49,31.12.2045,Unnamed: 51,31.12.2046,Unnamed: 53,31.12.2047,Unnamed: 55,31.12.2048,Unnamed: 57,31.12.2049,Unnamed: 59,31.12.2050,Unnamed: 61,31.12.2051,Unnamed: 63,31.12.2052,Unnamed: 65,31.12.2053,Unnamed: 67,31.12.2054,Unnamed: 69,31.12.2055,Unnamed: 71,31.12.2056,Unnamed: 73,31.12.2057,Unnamed: 75,31.12.2058,Unnamed: 77,31.12.2059,Unnamed: 79,31.12.2060,Unnamed: 81,31.12.2061,Unnamed: 83,31.12.2062,Unnamed: 85,31.12.2063,Unnamed: 87,31.12.2064,Unnamed: 89,31.12.2065,Unnamed: 91,31.12.2066,Unnamed: 93,31.12.2067,Unnamed: 95,31.12.2068,Unnamed: 97,31.12.2069,Unnamed: 99,31.12.2070,Unnamed: 101
BEV-VARIANTE-02,"Geburten, LE und WS moderat (G2L2W2)",männlich,unter 1 Jahr,388.1,e,393.0,e,395.1,e,396.7,e,397.7,e,398.2,e,398.2,e,397.7,e,396.7,e,395.2,e,393.1,e,390.5,e,387.8,e,385.4,e,383.3,e,381.6,e,380.1,e,379.1,e,378.6,e,378.5,e,378.9,e,379.7,e,380.9,e,382.4,e,383.9,e,385.4,e,386.7,e,387.8,e,388.5,e,388.9,e,389.0,e,388.7,e,388.1,e,387.4,e,386.4,e,385.4,e,384.2,e,383.1,e,381.9,e,380.8,e,379.7,e,378.6,e,377.5,e,376.4,e,375.3,e,374.3,e,373.3,e,372.5,e,371.8,e
,,,1-Jährige,415.7,e,392.1,e,396.2,e,398.1,e,399.6,e,400.5,e,400.8,e,400.7,e,400.1,e,398.9,e,397.2,e,395.0,e,392.4,e,389.8,e,387.4,e,385.3,e,383.5,e,382.1,e,381.1,e,380.5,e,380.5,e,380.9,e,381.7,e,382.9,e,384.3,e,385.9,e,387.4,e,388.7,e,389.7,e,390.5,e,390.9,e,390.9,e,390.7,e,390.1,e,389.4,e,388.4,e,387.4,e,386.2,e,385.1,e,383.9,e,382.8,e,381.7,e,380.6,e,379.5,e,378.4,e,377.3,e,376.3,e,375.4,e,374.5,e
,,,2-Jährige,411.3,e,419.7,e,395.2,e,399.1,e,400.9,e,402.2,e,403.0,e,403.2,e,402.9,e,402.2,e,400.9,e,399.1,e,396.9,e,394.3,e,391.6,e,389.2,e,387.2,e,385.4,e,384.0,e,382.9,e,382.4,e,382.3,e,382.7,e,383.6,e,384.8,e,386.2,e,387.7,e,389.2,e,390.6,e,391.6,e,392.4,e,392.8,e,392.8,e,392.6,e,392.0,e,391.3,e,390.3,e,389.3,e,388.1,e,387.0,e,385.8,e,384.7,e,383.6,e,382.4,e,381.4,e,380.3,e,379.2,e,378.2,e,377.2,e
,,,3-Jährige,414.9,e,415.2,e,422.7,e,398.0,e,401.8,e,403.5,e,404.6,e,405.3,e,405.4,e,405.0,e,404.1,e,402.7,e,400.9,e,398.7,e,396.1,e,393.4,e,391.0,e,389.0,e,387.2,e,385.8,e,384.8,e,384.2,e,384.1,e,384.5,e,385.4,e,386.6,e,388.0,e,389.6,e,391.1,e,392.4,e,393.4,e,394.2,e,394.6,e,394.6,e,394.4,e,393.8,e,393.1,e,392.1,e,391.1,e,389.9,e,388.8,e,387.6,e,386.5,e,385.4,e,384.3,e,383.2,e,382.1,e,381.0,e,380.0,e
,,,4-Jährige,422.6,e,419.1,e,418.4,e,425.6,e,400.8,e,404.5,e,406.0,e,407.0,e,407.6,e,407.5,e,407.0,e,406.0,e,404.6,e,402.8,e,400.5,e,397.9,e,395.3,e,392.9,e,390.8,e,389.0,e,387.6,e,386.6,e,386.1,e,386.0,e,386.4,e,387.3,e,388.5,e,389.9,e,391.4,e,392.9,e,394.2,e,395.3,e,396.1,e,396.5,e,396.5,e,396.2,e,395.7,e,394.9,e,394.0,e,392.9,e,391.8,e,390.7,e,389.5,e,388.4,e,387.2,e,386.1,e,385.0,e,384.0,e,382.9,e
,,,5-Jährige,427.3,e,426.9,e,422.2,e,421.2,e,428.3,e,403.3,e,406.9,e,408.3,e,409.2,e,409.6,e,409.4,e,408.8,e,407.8,e,406.4,e,404.5,e,402.3,e,399.7,e,397.1,e,394.7,e,392.6,e,390.8,e,389.4,e,388.4,e,387.9,e,387.8,e,388.2,e,389.0,e,390.3,e,391.7,e,393.2,e,394.7,e,396.0,e,397.1,e,397.9,e,398.3,e,398.3,e,398.0,e,397.5,e,396.7,e,395.8,e,394.7,e,393.6,e,392.5,e,391.3,e,390.2,e,389.1,e,387.9,e,386.8,e,385.8,e
,,,6-Jährige,429.3,e,431.3,e,429.7,e,424.6,e,423.5,e,430.5,e,405.4,e,408.8,e,410.1,e,410.9,e,411.2,e,410.9,e,410.3,e,409.3,e,407.9,e,406.1,e,403.9,e,401.3,e,398.6,e,396.2,e,394.2,e,392.4,e,391.0,e,390.0,e,389.4,e,389.4,e,389.8,e,390.6,e,391.8,e,393.2,e,394.8,e,396.3,e,397.6,e,398.7,e,399.4,e,399.8,e,399.9,e,399.6,e,399.1,e,398.3,e,397.4,e,396.3,e,395.2,e,394.0,e,392.9,e,391.7,e,390.6,e,389.5,e,388.4,e
,,,7-Jährige,418.0,e,433.8,e,434.5,e,432.5,e,427.3,e,426.0,e,432.9,e,407.7,e,411.0,e,412.2,e,412.9,e,413.0,e,412.7,e,412.1,e,411.1,e,409.7,e,407.9,e,405.7,e,403.1,e,400.4,e,398.0,e,396.0,e,394.2,e,392.8,e,391.8,e,391.2,e,391.2,e,391.6,e,392.4,e,393.6,e,395.0,e,396.6,e,398.1,e,399.4,e,400.5,e,401.2,e,401.6,e,401.7,e,401.4,e,400.9,e,400.1,e,399.2,e,398.1,e,397.0,e,395.8,e,394.7,e,393.5,e,392.4,e,391.3,e
,,,8-Jährige,413.6,e,422.9,e,437.3,e,437.5,e,435.3,e,430.0,e,428.6,e,435.3,e,410.1,e,413.2,e,414.2,e,414.8,e,415.0,e,414.7,e,414.0,e,413.0,e,411.6,e,409.8,e,407.6,e,405.0,e,402.4,e,400.0,e,397.9,e,396.1,e,394.7,e,393.7,e,393.2,e,393.1,e,393.5,e,394.3,e,395.5,e,397.0,e,398.5,e,400.0,e,401.3,e,402.4,e,403.2,e,403.6,e,403.6,e,403.3,e,402.8,e,402.0,e,401.1,e,400.1,e,398.9,e,397.8,e,396.6,e,395.5,e,394.4,e
,,,9-Jährige,400.0,e,418.5,e,426.4,e,440.4,e,440.5,e,438.2,e,432.7,e,431.2,e,437.7,e,412.3,e,415.3,e,416.2,e,416.8,e,417.0,e,416.6,e,416.0,e,415.0,e,413.6,e,411.8,e,409.6,e,407.0,e,404.4,e,402.0,e,399.9,e,398.1,e,396.7,e,395.7,e,395.2,e,395.1,e,395.5,e,396.3,e,397.5,e,399.0,e,400.5,e,402.0,e,403.3,e,404.4,e,405.2,e,405.6,e,405.6,e,405.3,e,404.8,e,404.0,e,403.1,e,402.1,e,400.9,e,399.8,e,398.6,e,397.5,e
