Altersjahre,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen,Insgesamt
31.12.2010,,,,,,,,,,,,,,,,,
unter 1 Jahr,90868.0,106070.0,33172.0,19108.0,5517.0,17086.0,51737.0,13325.0,63192.0,146941.0,31604.0,7064.0,35065.0,17323.0,22622.0,17539.0,678233.0
1-Jährige,90592.0,105199.0,32161.0,19096.0,5393.0,16274.0,51050.0,13055.0,63045.0,145733.0,31153.0,6963.0,34233.0,17186.0,22526.0,16955.0,670614.0
2-Jährige,93067.0,107920.0,31858.0,19781.0,5410.0,16206.0,52232.0,13159.0,65818.0,151417.0,32750.0,7209.0,34579.0,17743.0,23461.0,17508.0,690118.0
3-Jährige,94108.0,108747.0,30876.0,19673.0,5435.0,16168.0,52987.0,12832.0,66409.0,151652.0,32879.0,7242.0,33855.0,17296.0,23949.0,17080.0,691188.0
4-Jährige,93277.0,106975.0,29213.0,19065.0,5338.0,15349.0,51587.0,12579.0,66341.0,150615.0,32306.0,7202.0,32440.0,16649.0,23736.0,16295.0,678967.0
5-Jährige,95374.0,109479.0,28030.0,19142.0,5208.0,15335.0,53159.0,12156.0,68270.0,153856.0,33174.0,7480.0,32382.0,16830.0,24087.0,16539.0,690501.0
6-Jährige,97832.0,111736.0,27903.0,19695.0,5174.0,14990.0,53893.0,12852.0,71546.0,158190.0,34164.0,7674.0,32915.0,16852.0,25355.0,16998.0,707769.0
7-Jährige,98381.0,112894.0,26727.0,19714.0,5215.0,14639.0,53534.0,12612.0,72026.0,159969.0,34859.0,7643.0,31804.0,16401.0,25542.0,16625.0,708585.0
8-Jährige,100629.0,114756.0,26677.0,19457.0,5152.0,14508.0,54648.0,12341.0,74947.0,164132.0,35648.0,8024.0,31273.0,16966.0,26217.0,16604.0,721979.0
9-Jährige,103341.0,117383.0,26366.0,19350.0,5389.0,14407.0,55974.0,12635.0,77993.0,168830.0,36870.0,8305.0,31389.0,17174.0,27181.0,16924.0,739511.0
10-Jährige,108675.0,122918.0,27053.0,20409.0,5699.0,14550.0,58604.0,12801.0,82082.0,177197.0,39140.0,8706.0,32190.0,17598.0,28803.0,16904.0,773329.0
11-Jährige,110591.0,124375.0,26689.0,19938.0,5634.0,14585.0,58497.0,12155.0,82987.0,178399.0,39518.0,9083.0,30460.0,16869.0,29347.0,16262.0,775389.0
12-Jährige,113667.0,128511.0,26240.0,19318.0,5841.0,14814.0,60098.0,11894.0,85903.0,184365.0,41126.0,9196.0,29099.0,16284.0,29864.0,16109.0,792329.0
13-Jährige,118377.0,132195.0,26535.0,18915.0,6005.0,15140.0,62379.0,11808.0,89593.0,192780.0,43076.0,9987.0,28078.0,15943.0,31262.0,16045.0,818118.0
