Satzart,Gebietsstand,Regionalschlüssel,Gemeinde,Leer,Unnamed: 5
40.0,20221231.0,1001,"Flensburg, Stadt",Flensburg,
40.0,20221231.0,1002,"Kiel, Landeshauptstadt",Kiel,
40.0,20221231.0,1003,"Lübeck, Hansestadt",Lübeck,
40.0,20221231.0,1004,"Neumünster, Stadt",Neumünster,
40.0,20221231.0,1051,Dithmarschen,Heide,
40.0,20221231.0,1053,Herzogtum Lauenburg,Ratzeburg,
40.0,20221231.0,1054,Nordfriesland,Husum,
40.0,20221231.0,1055,Ostholstein,Eutin,
40.0,20221231.0,1056,Pinneberg,Elmshorn,
40.0,20221231.0,1057,Plön,Plön,
40.0,20221231.0,1058,Rendsburg-Eckernförde,Rendsburg,
40.0,20221231.0,1059,Schleswig-Flensburg,Schleswig,
40.0,20221231.0,1060,Segeberg,Bad Segeberg,
40.0,20221231.0,1061,Steinburg,Itzehoe,
40.0,20221231.0,1062,Stormarn,Bad Oldesloe,
40.0,20221231.0,2000,"Hamburg, Freie und Hansestadt",Hamburg,
40.0,20221231.0,3101,"Braunschweig, Stadt",Braunschweig,
40.0,20221231.0,3102,"Salzgitter, Stadt",Salzgitter,
40.0,20221231.0,3103,"Wolfsburg, Stadt",Wolfsburg,
40.0,20221231.0,3151,Gifhorn,Gifhorn,
40.0,20221231.0,3153,Goslar,Goslar,
40.0,20221231.0,3154,Helmstedt,Helmstedt,
40.0,20221231.0,3155,Northeim,Northeim,
40.0,20221231.0,3157,Peine,Peine,
40.0,20221231.0,3158,Wolfenbüttel,Wolfenbüttel,
40.0,20221231.0,3159,Göttingen,Göttingen,
40.0,20221231.0,3241,Region Hannover,Hannover,
40.0,20221231.0,3251,Diepholz,Diepholz,
40.0,20221231.0,3252,Hameln-Pyrmont,Hameln,
40.0,20221231.0,3254,Hildesheim,Hildesheim,
40.0,20221231.0,3255,Holzminden,Holzminden,
40.0,20221231.0,3256,Nienburg (Weser),Nienburg (Weser),
40.0,20221231.0,3257,Schaumburg,Stadthagen,
40.0,20221231.0,3351,Celle,Celle,
40.0,20221231.0,3352,Cuxhaven,Cuxhaven,
40.0,20221231.0,3353,Harburg,Winsen/Luhe,
40.0,20221231.0,3354,Lüchow-Dannenberg,"Lüchow, Wendland",
40.0,20221231.0,3355,Lüneburg,Lüneburg,
40.0,20221231.0,3356,Osterholz,Osterholz-Scharmbeck,
40.0,20221231.0,3357,Rotenburg (Wümme),Rotenburg/Wümme,
40.0,20221231.0,3358,Heidekreis,Bad Fallingbostel,
40.0,20221231.0,3359,Stade,Stade,
40.0,20221231.0,3360,Uelzen,Uelzen,
40.0,20221231.0,3361,Verden,Verden (Aller),
40.0,20221231.0,3401,"Delmenhorst, Stadt",Delmenhorst,
40.0,20221231.0,3402,"Emden, Stadt",Emden/Ostfriesland,
40.0,20221231.0,3403,"Oldenburg (Oldenburg), Stadt",Oldenburg/Oldenburg,
40.0,20221231.0,3404,"Osnabrück, Stadt",Osnabrück,
40.0,20221231.0,3405,"Wilhelmshaven, Stadt",Wilhelmshaven,
40.0,20221231.0,3451,Ammerland,Westerstede,
40.0,20221231.0,3452,Aurich,Aurich,
40.0,20221231.0,3453,Cloppenburg,Cloppenburg,
40.0,20221231.0,3454,Emsland,Meppen,
40.0,20221231.0,3455,Friesland,Jever,
40.0,20221231.0,3456,Grafschaft Bentheim,Nordhorn,
40.0,20221231.0,3457,Leer,Leer/Ostfriesland,
40.0,20221231.0,3458,"Oldenburg, Kreis",Wildeshausen,1.0
40.0,20221231.0,3459,"Osnabrück, Kreis",Osnabrück,1.0
40.0,20221231.0,3460,Vechta,Vechta,
40.0,20221231.0,3461,Wesermarsch,Brake/Unterweser,
40.0,20221231.0,3462,Wittmund,Wittmund,
40.0,20221231.0,4011,"Bremen, Stadt",Bremen,
40.0,20221231.0,4012,"Bremerhaven, Stadt",Bremerhaven,
40.0,20221231.0,5111,"Düsseldorf, Stadt",Düsseldorf,
40.0,20221231.0,5112,"Duisburg, Stadt",Duisburg,
40.0,20221231.0,5113,"Essen, Stadt",Essen,
40.0,20221231.0,5114,"Krefeld, Stadt",Krefeld,
40.0,20221231.0,5116,"Mönchengladbach, Stadt",Mönchengladbach,
40.0,20221231.0,5117,"Mülheim an der Ruhr, Stadt",Mülheim an der Ruhr,
40.0,20221231.0,5119,"Oberhausen, Stadt",Oberhausen,
40.0,20221231.0,5120,"Remscheid, Stadt",Remscheid,
40.0,20221231.0,5122,"Solingen, Klingenstadt",Solingen,
40.0,20221231.0,5124,"Wuppertal, Stadt",Wuppertal,
40.0,20221231.0,5154,Kleve,Kleve,
40.0,20221231.0,5158,Mettmann,Mettmann,
40.0,20221231.0,5162,Rhein-Kreis Neuss,Neuss,
40.0,20221231.0,5166,Viersen,Viersen,
40.0,20221231.0,5170,Wesel,Wesel,
40.0,20221231.0,5314,"Bonn, Stadt",Bonn,
40.0,20221231.0,5315,"Köln, Stadt",Köln,
40.0,20221231.0,5316,"Leverkusen, Stadt",Leverkusen,
40.0,20221231.0,5334,Städteregion Aachen,Aachen,
40.0,20221231.0,5358,Düren,Düren,
40.0,20221231.0,5362,Rhein-Erft-Kreis,Bergheim,
40.0,20221231.0,5366,Euskirchen,Euskirchen,
40.0,20221231.0,5370,Heinsberg,Heinsberg,
40.0,20221231.0,5374,Oberbergischer Kreis,Gummersbach,
40.0,20221231.0,5378,Rheinisch-Bergischer Kreis,Bergisch Gladbach,
40.0,20221231.0,5382,Rhein-Sieg-Kreis,Siegburg,
40.0,20221231.0,5512,"Bottrop, Stadt",Bottrop,
40.0,20221231.0,5513,"Gelsenkirchen, Stadt",Gelsenkirchen,
40.0,20221231.0,5515,"Münster, Stadt",Münster,
40.0,20221231.0,5554,Borken,Borken,
40.0,20221231.0,5558,Coesfeld,Coesfeld,
40.0,20221231.0,5562,Recklinghausen,Recklinghausen,
40.0,20221231.0,5566,Steinfurt,Steinfurt,
40.0,20221231.0,5570,Warendorf,Warendorf,
40.0,20221231.0,5711,"Bielefeld, Stadt",Bielefeld,
40.0,20221231.0,5754,Gütersloh,Gütersloh,
40.0,20221231.0,5758,Herford,Herford,
40.0,20221231.0,5762,Höxter,Höxter,
40.0,20221231.0,5766,Lippe,Detmold,
40.0,20221231.0,5770,Minden-Lübbecke,Minden,
40.0,20221231.0,5774,Paderborn,Paderborn,
40.0,20221231.0,5911,"Bochum, Stadt",Bochum,
40.0,20221231.0,5913,"Dortmund, Stadt",Dortmund,
40.0,20221231.0,5914,"Hagen, Stadt der FernUniversität",Hagen,
40.0,20221231.0,5915,"Hamm, Stadt",Hamm,
40.0,20221231.0,5916,"Herne, Stadt",Herne,
40.0,20221231.0,5954,Ennepe-Ruhr-Kreis,Schwelm,
40.0,20221231.0,5958,Hochsauerlandkreis,Meschede,
40.0,20221231.0,5962,Märkischer Kreis,Lüdenscheid,
40.0,20221231.0,5966,Olpe,Olpe,
40.0,20221231.0,5970,Siegen-Wittgenstein,Siegen,
40.0,20221231.0,5974,Soest,Soest,
40.0,20221231.0,5978,Unna,Unna,
40.0,20221231.0,6411,"Darmstadt, Wissenschaftsstadt",Darmstadt,
40.0,20221231.0,6412,"Frankfurt am Main, Stadt",Frankfurt am Main,
40.0,20221231.0,6413,"Offenbach am Main, Stadt",Offenbach am Main,
40.0,20221231.0,6414,"Wiesbaden, Landeshauptstadt",Wiesbaden,
40.0,20221231.0,6431,Bergstraße,Heppenheim,
40.0,20221231.0,6432,Darmstadt-Dieburg,Darmstadt,
40.0,20221231.0,6433,Groß-Gerau,Groß-Gerau,
40.0,20221231.0,6434,Hochtaunuskreis,Bad Homburg v. d. Höhe,
40.0,20221231.0,6435,Main-Kinzig-Kreis,Gelnhausen,
40.0,20221231.0,6436,Main-Taunus-Kreis,Hofheim a. T.,
40.0,20221231.0,6437,Odenwaldkreis,Erbach,
40.0,20221231.0,6438,"Offenbach, Kreis",Dietzenbach,1.0
40.0,20221231.0,6439,Rheingau-Taunus-Kreis,Bad Schwalbach,
40.0,20221231.0,6440,Wetteraukreis,Friedberg (Hessen),
40.0,20221231.0,6531,Gießen,Gießen,
40.0,20221231.0,6532,Lahn-Dill-Kreis,Wetzlar,
40.0,20221231.0,6533,Limburg-Weilburg,Limburg a. d. Lahn,
