Hauptdiagnose,Ausland-unbekannt-ohne Angabe
Insgesamt,73661
A01,1
A02,28
A03,2
A04,79
A05,7
A07,3
A08,107
A09,472
A15,42
A16,14
A17,1
A18,4
A19,1
A27,2
A28,1
A31,1
A36,1
A38,1
A39,1
A40,16
A41,167
A46,255
A48,16
A49,115
A50,1
A51,2
A54,2
A60,8
A63,1
A69,19
A81,3
A84,7
A85,1
A86,3
A87,10
A98,8
B00,21
B01,5
B02,72
B07,2
B08,5
B15,4
B16,3
B17,2
B18,1
B19,1
B20,4
B22,1
B25,5
B27,26
B33,1
B34,137
B37,11
B44,5
B45,1
B48,8
B50,10
B51,1
B55,2
B60,2
B67,3
B80,1
B83,1
B85,1
B86,10
B89,1
B99,119
C00,3
C01,7
C02,10
C03,2
C04,10
C05,7
C06,5
C07,10
C08,4
C09,24
C10,34
C11,18
C12,1
C13,6
C14,1
C15,179
C16,163
C17,30
C18,346
C19,30
C20,204
C21,26
C22,89
C23,18
C24,14
C25,211
C26,1
C30,4
C31,15
C32,9
C33,2
C34,397
C37,2
C38,4
C40,32
C41,46
C43,48
C44,141
C45,19
C47,27
C48,4
C49,48
C50,348
C51,9
C52,1
C53,66
C54,41
C55,1
C56,93
C57,1
C58,1
C60,5
C61,531
C62,62
C63,1
C64,77
C65,10
C66,2
C67,230
C68,7
C69,96
C70,2
C71,107
C72,12
C73,78
C74,39
C75,12
C77,31
C78,128
C79,115
C80,79
C81,45
C82,15
C83,98
C84,29
C85,16
C86,2
C88,2
C90,86
C91,130
C92,132
C93,3
C94,4
C95,5
C96,2
D00,1
D01,6
D02,3
D03,3
D04,6
D05,27
D06,6
D07,6
D09,6
D10,9
D11,25
D12,90
D13,23
D14,10
D15,5
D16,28
D17,48
D18,45
D20,1
D21,15
D22,6
D23,4
D24,17
D25,131
D26,1
D27,61
D28,4
D29,3
D30,19
D31,5
D32,43
D33,32
D34,5
D35,38
D36,18
D37,55
D38,53
D39,10
D40,5
D41,13
D42,2
D43,41
D44,6
D45,1
D46,25
D47,14
D48,32
D50,98
D51,7
D52,1
D53,1
D56,9
D57,12
D58,3
D59,10
D60,2
D61,20
D62,9
D64,25
D66,1
D68,11
D69,27
D70,11
D71,11
D73,6
D76,2
D81,4
D82,1
D84,1
D86,25
E03,4
E04,84
E05,65
E06,8
E10,199
E11,318
E13,19
E14,2
E15,1
E16,14
E20,1
E21,10
E22,7
E23,4
E24,5
E26,5
E27,11
E28,3
E31,1
E32,2
E34,2
E41,1
E46,2
E51,6
E55,1
E58,1
E66,46
E67,1
E71,1
E74,3
E75,4
E76,1
E78,2
E80,3
E83,7
E84,12
E85,5
E86,221
E87,109
E88,9
E89,3
F01,5
F03,6
F05,34
F06,10
F07,4
F10,1721
F11,28
F12,10
F13,22
F14,16
F15,24
F16,3
F17,1
F18,2
F19,171
F20,13
F22,7
F23,11
F28,1
F29,3
F31,3
F32,24
F33,3
F38,1
F40,1
F41,42
F43,32
F44,69
F45,94
F48,4
F50,9
F51,6
F54,2
F55,1
F60,5
F64,73
F66,1
F69,1
F80,2
F83,8
F84,3
F89,1
F90,2
F91,3
F92,1
F93,2
F94,8
F95,4
F98,10
G00,14
G03,16
G04,28
G06,15
G08,3
G10,1
G11,7
G12,24
G20,83
G21,5
G23,11
G24,6
G25,15
G30,11
G31,9
G35,71
G37,16
G40,868
G41,65
G43,147
G44,69
G45,428
G47,121
G50,11
G51,90
G52,3
G54,14
G56,35
G57,15
G58,25
G60,3
G61,38
G62,79
G70,27
G71,2
G72,8
G80,15
G81,22
G82,29
G83,22
G90,24
G91,24
G92,1
G93,61
G95,13
G96,15
G97,11
H00,8
H01,2
H02,44
H04,32
H05,10
H10,1
H11,2
H15,1
H16,46
H17,6
H18,47
H20,17
H21,4
H25,65
H26,28
H27,17
