Hauptdiagnose,07111,07131,07132,07133,07134,07135,07137,07138,07140,07141,07143,07211,07231,07232,07233,07235,07311,07312,07313,07314,07315,07316,07317,07318,07319,07320,07331,07332,07333,07334,07335,07336,07337,07338,07339,07340,08111,08115,08116,08117,08118,08119,08121,08125,08126,08127,08128,08135,08136,08211,08212,08215,08216,08221,08222,08225,08226,08231,08235,08236,08237,08311,08315,08316,08317,08325,08326,08327,08335,08336,08337,08415,08416,08417,08421,08425,08426,08435,08436,08437
Insgesamt,20848.0,29093.0,30928.0,35994.0,20842.0,14293.0,42489.0,40502.0,22057.0,26299.0,45135.0,20227.0,25512.0,24446.0,15262.0,31908.0,9235.0,16778.0,8804.0,30658.0,31112.0,9672.0,9894.0,10030.0,16772.0,8561.0,25800.0,25407.0,16107.0,24914.0,20246.0,16230.0,21888.0,27552.0,36058.0,21147.0,96686.0,63670.0,89121.0,41859.0,83127.0,70879.0,21720.0,56790.0,19282.0,34173.0,25439.0,22635.0,50799.0,9637.0,42412.0,70845.0,38023.0,19450.0,48412.0,28244.0,88789.0,25200.0,28992.0,36783.0,21010.0,34864.0,44941.0,29864.0,72215.0,25089.0,34871.0,24145.0,45175.0,35761.0,26579.0,44921.0,33427.0,33164.0,18996.0,32046.0,31796.0,36257.0,44922.0,21590.0
A01,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
A02,3.0,3.0,8.0,18.0,2.0,4.0,8.0,5.0,4.0,5.0,6.0,6.0,7.0,3.0,4.0,6.0,3.0,3.0,2.0,5.0,2.0,1.0,1.0,,7.0,2.0,10.0,8.0,7.0,3.0,2.0,4.0,6.0,7.0,10.0,7.0,15.0,13.0,15.0,7.0,20.0,11.0,2.0,12.0,5.0,14.0,12.0,7.0,14.0,1.0,11.0,19.0,4.0,3.0,7.0,10.0,10.0,4.0,2.0,5.0,3.0,4.0,11.0,6.0,4.0,,4.0,2.0,9.0,8.0,7.0,3.0,6.0,2.0,2.0,5.0,6.0,11.0,7.0,4.0
A03,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
A04,25.0,88.0,58.0,51.0,49.0,28.0,76.0,77.0,48.0,40.0,72.0,56.0,64.0,68.0,41.0,87.0,20.0,37.0,28.0,83.0,61.0,26.0,19.0,9.0,62.0,26.0,61.0,64.0,58.0,64.0,64.0,43.0,52.0,72.0,79.0,60.0,121.0,122.0,120.0,58.0,110.0,71.0,29.0,95.0,23.0,41.0,50.0,46.0,63.0,13.0,44.0,123.0,48.0,35.0,63.0,66.0,155.0,28.0,41.0,60.0,19.0,44.0,62.0,35.0,74.0,30.0,57.0,31.0,36.0,44.0,49.0,53.0,62.0,78.0,34.0,66.0,45.0,57.0,62.0,29.0
A05,,2.0,,1.0,2.0,,1.0,6.0,3.0,2.0,4.0,2.0,,,1.0,,2.0,,,2.0,,,,1.0,,1.0,,1.0,,2.0,,,2.0,2.0,2.0,1.0,8.0,,4.0,,9.0,13.0,,4.0,2.0,,1.0,,2.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,,2.0,5.0,3.0,1.0,4.0,2.0,6.0,,1.0,1.0,4.0,1.0,,2.0,1.0,,,2.0,1.0,3.0,4.0,3.0
A06,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
A07,,,2.0,,1.0,1.0,,1.0,,,,,1.0,2.0,,1.0,1.0,,,2.0,1.0,,,1.0,3.0,,1.0,2.0,,1.0,,1.0,,,,,,2.0,2.0,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,2.0,,1.0,,,1.0,,,1.0,2.0,2.0,,,2.0,,,,1.0,,,,,1.0,
A08,21.0,30.0,29.0,21.0,50.0,16.0,38.0,37.0,25.0,25.0,50.0,30.0,33.0,41.0,23.0,46.0,14.0,11.0,4.0,70.0,7.0,10.0,33.0,10.0,18.0,12.0,30.0,32.0,19.0,26.0,16.0,21.0,28.0,42.0,26.0,42.0,122.0,55.0,71.0,32.0,110.0,81.0,35.0,72.0,38.0,84.0,40.0,42.0,54.0,3.0,34.0,55.0,28.0,14.0,48.0,32.0,62.0,35.0,16.0,30.0,16.0,19.0,25.0,17.0,46.0,22.0,24.0,21.0,34.0,26.0,16.0,36.0,17.0,22.0,13.0,33.0,12.0,63.0,29.0,9.0
