Feldbezeichnung,Inhalt
Land,Land
Kreis,Kreis (in Ländern mit Regierungsbezirken steht die erste Stelle des Kreis-
,schlüssels für den Regierungsbezirk)
Gemeinde,Gemeinde
Adresse_Name,Name des Krankenhauses
Adresse_Name_Standort,Name des Standortes 
Adresse _Strasse_Standort,Straße
Adresse _Haus-Nr._Standort,Hausnummer
Adresse _Postleitzahl_Standort,Zustellbezogene Postleitzahl
Adresse _Ort_Standort,Zustellbezogener Ort
Telefonvorwahl/-nummer,Telefonvorwahl/-nummer
E-Mail Adresse,E-Mail Adresse
Internet-Adresse,Internet-Adresse
Traeger,Art des Trägers 
,1 = öffentlicher Träger
,2 = freigemeinnütziger Träger
,3 = privater Träger
T_Name,Name des Trägers
EinrichtungsTyp,Art der Einrichtung
,1 = Hochschulklinik
,2 = Plankrankenhaus
,3 = Krankenhaus mit Versorgungsvertrag
,4 = Krankenhaus ohne Versorgungsvertrag
,5 = Bundeswehrkrankenhaus
Allgemeine_Notfallversorgung,Allgemeine stationäre Notfallversorgung
,0 = Keine Teilnahme
,1 = Basisnotfallversorgung
,2 = Erweiterte Notfallversorgung
,3 = Umfassende Notfallversorgung
Spezielle_Notfallversorgung,Spezielle stationäre Notfallversorgung
,Modul 1: Schwerverletztenversorgung
,Modul 2: Notfallversorgung Kinder
,Modul 3: Spezialversorgung
,Modul 4: Schlaganfallversorgung
,Modul 5: Durchblutungsstörungen am Herzen
INSG,Aufgestellte Betten insgesamt
0100,Innere Medizin
0102,Innere Medizin/Schwerpunkt Geriatrie
0103,Innere Medizin/Schwerpunkt Kardiologie
0104,Innere Medizin/Schwerpunkt Nephrologie
0105,Innere Medizin/Schwerpunkt Hämatologie und internistische Onkologie
0106,Innere Medizin/Schwerpunkt Endokrinologie
0107,Innere Medizin/Schwerpunkt Gastroenterologie
0108,Innere Medizin/Schwerpunkt Pneumologie
0109,Innere Medizin/Schwerpunkt Rheumatologie
0114,Innere Medizin/Schwerpunkt Lungen- und Bronchialheilkunde
0150,Innere Medizin/Schwerpunkt Tumorforschung
0151,Innere Medizin/Schwerpunkt Coloproktologie
0152,Innere Medizin/Schwerpunkt Infektionskrankheiten
0153,Innere Medizin/Schwerpunkt Diabetes
0154,Innere Medizin/Schwerpunkt Naturheilkunde
0156,Innere Medizin/Schwerpunkt Schlaganfallpatienten (Stroke units)
0200,Geriatrie
0224,Geriatrie/Schwerpunkt Frauenheilkunde
260,Geriatrie/Tagesklinik (für teilstationäre Pflegesätze) - keine vollstationären Betten
261,Geriatrie/Nachtklinik (für teilstationäre Pflegesätze) - keine vollstationären Betten
0300,Kardiologie
0400,Nephrologie
0410,Nephrologie/Schwerpunkt Pädiatrie
0436,Nephrologie/Intensivmedizin
0500,Hämatologie und internistische Onkologie
0510,Hämatologie und internistische Onkologie/Schwerpunkt Pädiatrie
0524,Hämatologie und internistische Onkologie/Schwerpunkt Frauenheilkunde
0533,Hämatologie und internistische Onkologie/Schwerpunkt Strahlenheilkunde
0600,Endokrinologie
0607,Endokrinologie/Schwerpunkt Gastroenterologie
0610,Endokrinologie/Schwerpunkt Pädiatrie
0700,Gastroenterologie
0706,Gastroenterologie/Schwerpunkt Endokrinologie
0710,Gastroenterologie/Schwerpunkt Pädiatrie
0800,Pneumologie
0900,Rheumatologie
0910,Rheumatologie/Schwerpunkt Pädiatrie
1000,Pädiatrie
1004,Pädiatrie/Schwerpunkt Nephrologie
1005,Pädiatrie/Schwerpunkt Hämatologie und internistische Onkologie
1006,Pädiatrie/Schwerpunkt Endokrinologie
1007,Pädiatrie/Schwerpunkt Gastroenterologie
1009,Pädiatrie/Schwerpunkt Rheumatologie
1011,Pädiatrie/Schwerpunkt Kinderkardiologie
1012,Pädiatrie/Schwerpunkt Neonatologie
1014,Pädiatrie/Schwerpunkt Lungen- und Bronchialheilkunde
1028,Pädiatrie/Schwerpunkt Kinderneurologie
1050,Pädiatrie/Schwerpunkt Perinatalmedizin
1051,Langzeitbereich Kinder
1100,Kinderkardiologie
1136,Kinderkardiologie/Schwerpunkt Intensivmedizin
1200,Neonatologie
1300,Kinderchirurgie
1400,Lungen- und Bronchialheilkunde
1410,Lungen- und Bronchialheilkunde/Schwerpunkt Pädiatrie
1500,Allgemeine Chirurgie
1513,Allgemeine Chirurgie/Schwerpunkt Kinderchirurgie
1516,Allgemeine Chirurgie/Schwerpunkt Unfallchirurgie
1518,Allgemeine Chirurgie/Schwerpunkt Gefäßchirurgie
1519,Allgemeine Chirurgie/Schwerpunkt Plastische Chirurgie
1520,Allgemeine Chirurgie/Schwerpunkt Thoraxchirurgie
1523,Chirurgie/Schwerpunkt Orthopädie
1536,Allgemeine Chirurgie/Intensivmedizin
1550,Allgemeine Chirurgie/Schwerpunkt Abdominal- und Gefäßchirurgie
1551,Allgemeine Chirurgie/Schwerpunkt Handchirurgie
1600,Unfallchirurgie
1700,Neurochirurgie
1800,Gefäßchirurgie
1900,Plastische Chirurgie
2000,Thoraxchirurgie
2021,Thoraxchirurgie/Schwerpunkt Herzchirurgie
2036,Thoraxchirurgie/Intensivmedizin
2050,Thoraxchirurgie/Schwerpunkt Herzchirurgie Intensivmedizin
2100,Herzchirurgie
2118,Herzchirurgie/Schwerpunkt Gefäßchirurgie
2120,Herzchirurgie/Schwerpunkt Thoraxchirurgie
2136,Herzchirurgie/Intensivmedizin
2150,Herzchirurgie/Schwerpunkt Thoraxchirurgie Intensivmedizin
2200,Urologie
2300,Orthopädie
2309,Orthopädie/Schwerpunkt Rheumatologie
2315,Orthopädie/Schwerpunkt Chirurgie
2316,Orthopädie und Unfallchirurgie
2400,Frauenheilkunde und Geburtshilfe
2402,Frauenheilkunde/Schwerpunkt Geriatrie
2405,Frauenheilkunde/Schwerpunkt Hämatologie und internistische Onkologie
2406,Frauenheilkunde/Schwerpunkt Endokrinologie
2425,Frauenheilkunde
2500,Geburtshilfe
