Land,Kreis,Gemeinde,Adresse_Name,Adresse_Name_Standort,Adresse_Strasse_Standort,Adresse_Haus-Nr._Standort,Adresse_Postleitzahl_Standort,Adresse_Ort_Standort,Telefonvorwahl/-nummer,E-Mail Adresse,Internet-Adresse,Traeger,T_Name,EinrichtungsTyp,Allgemeine_Notfallversorgung,Spezielle_Notfallversorgung,Spezielle_Notfallversorgung.1,Spezielle_Notfallversorgung.2,Spezielle_Notfallversorgung.3,Spezielle_Notfallversorgung.4,INSG,0100,0102,0103,0104,0105,0106,0107,0108,0109,0114,0150,0151,0152,0153,0154,0156,0200,0224,260,261,0300,0400,0410,0436,0500,0510,0524,0533,0600,0607,0610,0700,0706,0710,0800,0900,0910,1000,1004,1005,1006,1007,1009,1011,1012,1014,1028,1050,1051,1100,1136,1200,1300,1400,1410,1500,1513,1516,1518,1519,1520,1523,1536,1550,1551,1600,1700,1800,1900,2000,2021,2036,2050,2100,2118,2120,2136,2150,2200,2300,2309,2315,2316,2400,2402,2405,2406,2425,2500,2600,2700,2800,2810,2851,2852,2856,2900,2928,2930,2931,2950,2951,2952,2953,2954,2955,2956,2960,2961,3000,3060,3061,3100,3110,3160,3161,3200,3233,3300,3305,3350,3400,3415,3460,3500,3600,3601,3603,3610,3617,3618,3621,3622,3624,3626,3628,3650,3651,3652,3700,3750,3751,3752,3753,3754,3755,3756,3757,3758,3759
1,1,0,DIAKO Krankenhaus gGmbH,DIAKO Krankenhaus gGmbH,Knuthstraße,1,24939,Flensburg,0461 812 2026,wangerkar@diako.de,www.diako-krankenhaus.de/,2,DIAKO Krankenhaus gGmbH,2,2,1,1,2,1,2,400,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,35.0,28.0,,,,,,,,,,,39.0,,,,,41.0,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,"DIAKO Nordfriesland gGmbH- DIAKO Fachklinik für Psychiatrie, Psychosomatik und Psychotherapie Flensburg","DIAKO Fachklinik für Psychiatrie, Psychosomatik, Psychotherapie",Knuthstraße,1,24939,Flensburg,046714081140,wangerkar@diako.de,www.diako-nf.de,2,DIAKO Nordfriesland gGmbH,2,0,2,2,2,2,2,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,DIAKO Nordfriesland gGmbH- DIAKO Tageskliniken Flensburg,DIAKO Tagesklinik für Erwachsene Flensburg,Marienhölzungsweg,21,24939,Flensburg,,wienerbu@diako.de,www.diako-krankenhaus.de/kliniken-und-zentren/kliniken/,2,DIAKO Nordfriesland gGmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,DIAKO Nordfriesland gGmbH- DIAKO Tageskliniken Flensburg,DIAKO Tagesklinik für Ältere Flensburg,Marienhölzungsweg,8,24939,Flensburg,,wienerbu@diako.de,www.diako-krankenhaus.de/kliniken-und-zentren/kliniken/,2,DIAKO Nordfriesland gGmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,DIAKO Nordfriesland gGmbH- DIAKO Tageskliniken Flensburg,DIAKO Tagesklinik für Psychosomatik Flensburg,Nerongsallee,5,24939,Flensburg,,wienerbu@diako.de,www.diako-krankenhaus.de/kliniken-und-zentren/kliniken/,2,DIAKO Nordfriesland gGmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,DIAKO Nordfriesland gGmbH- DIAKO Tageskliniken Flensburg,DIAKO Tagesklinik für KJP (Villa Paletti),Marienhölzungsweg,68,24939,Flensburg,,wienerbu@diako.de,www.diako-krankenhaus.de/kliniken-und-zentren/kliniken/,2,DIAKO Nordfriesland gGmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,Katharinen Hospiz am Park,Katharinen Hospiz am Park,Mühlenstraße,1,24937,Flensburg,,thomas.schwedhelm@katharinen-hospiz.de,www.katharinen-hospiz.de/,2,Katharinen Hospiz am Park gGmbH,2,0,2,2,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
1,1,0,Malteser Krankenhaus St. Franziskus-Hospital,Malteser Krankenhaus St. Franziskus-Hospital,Waldstraße,17,24939,Flensburg,0461 8162507,Ralf.Wichert@malteser.org,www.malteser-franziskus.de/flensburg.html,2,Malteser Norddeutschland gGmbH,2,1,2,2,2,2,2,336,140.0,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,"AMEOS Klinika Heiligenhafen, Kiel, Oldenburg i.H., Preetz",AMEOS Klinikum Kiel,Tiroler Ring,621,24147,Kiel,,lgah.verw@neustadt.ameos.de,www.ameos.eu/standorte/ameos-nord/heiligenhafen/,3,AMEOS Krankenhausgesellschaft Holstein mbH,2,0,2,2,2,2,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
