Land,Kreis,Gemeinde,Adresse_Name,Adresse_Straße,Adresse_Haus-Nr.,Adresse_Postleitzahl,Adresse_Ort,Telefonvorwahl/-nummer,E-Mail Adresse,Internet-Adresse,Traeger,T-Name,EinrichtungsTyp,INSG,0000,0100,0200,0300,0400,0500,0600,0700,0800,0900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,8200,8500,8600,8800,9000
1,3,0,AMEOS Reha Klinikum Lübeck,Weidenweg,9-15,23562,Lübeck,,lgah.verw@neustadt.ameos.de,www.ameos.eu/standorte/ameos-nord/luebeck/reha-klinikum/,3,AMEOS Klinika Lübeck GmbH,6,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,
1,3,0,Fachklinik für Rehabilitation DO IT!,Mecklenburger Landstraße,60,23570,Lübeck,040 200010-7086,Katrin-Grenz@therapiehilfe.de,,2,Therapiehilfe gGmbH,6,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,
1,51,13,AWO-Nordseeklinik Erlengrund,Nordseestraße,100,25761,Büsum,0231 5483-249,joerg.langemann@aw-kur.de,www.aw-kur.de/nordseeklinik-erlengrund,2,AW - Kur- und Erholungsgesellschaft mbH,6,84,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,13,Ev. Kurzentrum GODE TIED Büsum,Königsberger Straße,12-16,25761,Büsum,04834 950-9130,Katrin.Schmidt@godetied.nordkirche.de,godetied.com/,2,Hauptbereich Generationen und Geschlechter der Evangelisch-Lutherischen Kirche in Norddeutschland,6,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,
1,51,34,Klinik Nordseedeich,Deichweg,1,25718,Friedrichskoog,04854 908-400,siegel@klinik-nordseedeich.de,www.klinik-nordseedeich.de/,3,Klinik Nordseedeich Verwaltungs GmbH,6,270,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,32,VAMED Rehaklinik Geesthacht,Johannes-Ritter-Straße,100,21502,Geesthacht,,Tim.Werner2@vamed-gesundheit.de,www.vamed-gesundheit.de/reha/geesthacht/,3,VAMED Klinik Geesthacht GmbH,6,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,
1,53,84,VAMED Rehaklinik Lehmrade,Gudower Straße,10,23883,Lehmrade,04542 806-9010,marita.schiminski@vamed-gesundheit.de,www.vamed-gesundheit.de/reha/lehmrade/,3,VAMED Rehaklinik Lehmrade GmbH,6,131,,,,,,91.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,90,Reha-Klinik Hellbachtal,Sebastian-Kneipp-Straße,2,23879,Mölln,04542 82-364,ROBIN.DREWS@DRV-BUND.DE,hellbachtal.deutsche-rentenversicherung-reha-zentren.de,1,Deutsche Rentenversicherung Bund,6,192,,,,,,,,,,,,,,,,,,,,,,,,192.0,,,,,,,,,,,,,,,,,,,
1,53,90,Reha-Zentrum Mölln Klinik Föhrenkamp,Birkenweg,24,23879,Mölln,04542 82-364,ROBIN.DREWS@DRV-BUND.DE,foehrenkamp.deutsche-rentenversicherung-reha-zentren.de/,1,Deutsche Rentenversicherung Bund,6,193,,,,,,,,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
