patient_region,hospital_id,distance
"Flensburg, Stadt",95,73.65
"Flensburg, Stadt",96,73.65
"Flensburg, Stadt",97,32.42
"Flensburg, Stadt",98,32.42
"Flensburg, Stadt",240,201.84
"Flensburg, Stadt",243,273.65
"Flensburg, Stadt",249,273.65
"Flensburg, Stadt",251,247.04
"Flensburg, Stadt",253,201.84
"Flensburg, Stadt",254,247.04
"Flensburg, Stadt",256,227.78
"Flensburg, Stadt",257,246.08
"Flensburg, Stadt",260,288.55
"Flensburg, Stadt",262,227.78
"Flensburg, Stadt",269,314.1
"Flensburg, Stadt",285,192.67
"Flensburg, Stadt",309,197.05
"Flensburg, Stadt",312,198.17
"Flensburg, Stadt",314,198.17
"Flensburg, Stadt",326,273.65
"Flensburg, Stadt",328,245.16
"Flensburg, Stadt",329,245.16
"Flensburg, Stadt",330,275.14
"Flensburg, Stadt",331,245.16
"Flensburg, Stadt",332,245.16
"Flensburg, Stadt",334,275.14
"Flensburg, Stadt",335,275.14
"Flensburg, Stadt",336,197.05
"Flensburg, Stadt",344,192.67
"Flensburg, Stadt",345,192.67
"Flensburg, Stadt",346,103.6
"Flensburg, Stadt",347,103.6
"Flensburg, Stadt",355,125.4
"Flensburg, Stadt",358,125.4
"Flensburg, Stadt",361,125.4
"Flensburg, Stadt",366,144.92
"Flensburg, Stadt",367,144.92
"Flensburg, Stadt",405,213.93
"Flensburg, Stadt",415,213.93
"Flensburg, Stadt",438,103.6
"Flensburg, Stadt",455,215.1
"Flensburg, Stadt",458,176.32
"Flensburg, Stadt",587,402.2
"Flensburg, Stadt",614,423.48
"Flensburg, Stadt",615,423.48
"Flensburg, Stadt",616,423.48
"Flensburg, Stadt",617,423.48
"Flensburg, Stadt",618,423.48
"Flensburg, Stadt",619,423.48
"Flensburg, Stadt",708,466.45
"Flensburg, Stadt",709,466.45
"Flensburg, Stadt",719,452.49
"Flensburg, Stadt",780,329.83
"Flensburg, Stadt",781,329.83
"Flensburg, Stadt",825,300.49
"Flensburg, Stadt",826,300.49
"Flensburg, Stadt",827,300.49
"Flensburg, Stadt",835,294.44
"Flensburg, Stadt",836,294.44
"Flensburg, Stadt",837,294.44
"Flensburg, Stadt",838,294.44
"Flensburg, Stadt",847,265.64
"Flensburg, Stadt",848,265.64
"Flensburg, Stadt",849,265.64
"Flensburg, Stadt",853,288.82
"Flensburg, Stadt",854,288.82
"Flensburg, Stadt",879,306.03
"Flensburg, Stadt",880,306.03
"Flensburg, Stadt",881,306.03
"Flensburg, Stadt",882,306.03
"Flensburg, Stadt",883,306.03
"Flensburg, Stadt",884,306.03
"Flensburg, Stadt",1008,351.42
"Flensburg, Stadt",1009,351.42
"Flensburg, Stadt",1010,351.42
"Flensburg, Stadt",1011,351.42
"Flensburg, Stadt",1068,505.7
"Flensburg, Stadt",1069,505.7
"Flensburg, Stadt",1134,429.8
"Flensburg, Stadt",1135,429.8
"Flensburg, Stadt",1136,429.8
"Flensburg, Stadt",1137,429.8
"Flensburg, Stadt",1138,429.8
"Flensburg, Stadt",1190,423.58
"Flensburg, Stadt",1191,423.58
"Flensburg, Stadt",1192,423.58
"Flensburg, Stadt",1193,423.58
"Flensburg, Stadt",1265,439.12
"Flensburg, Stadt",1266,523.0
"Flensburg, Stadt",1267,523.0
"Flensburg, Stadt",1268,523.0
"Flensburg, Stadt",1269,523.0
"Flensburg, Stadt",1270,523.0
"Flensburg, Stadt",1288,470.47
"Flensburg, Stadt",1289,470.47
"Flensburg, Stadt",1290,470.47
"Flensburg, Stadt",1291,470.47
"Flensburg, Stadt",1348,559.17
"Flensburg, Stadt",1349,559.17
"Flensburg, Stadt",1356,582.53
"Flensburg, Stadt",1360,565.48
"Flensburg, Stadt",1361,565.48
"Flensburg, Stadt",1399,634.75
