Unnamed: 0,Hauptdiagnose,Ausland-unbekannt-ohne Angabe,Population,Demand_per_1000
0,Insgesamt,73661,2633821.0,27.967352375123443
1,A01,1,1.0,1000.0
2,A02,28,514.0,54.474708171206224
3,A03,2,5.0,400.0
4,A04,79,5532.0,14.280549530007232
5,A05,7,103.0,67.96116504854369
6,A07,3,88.0,34.090909090909086
7,A08,107,6216.0,17.213642213642213
8,A09,472,16475.0,28.649468892261
9,A15,42,293.0,143.34470989761093
10,A16,14,142.0,98.59154929577464
11,A17,1,8.0,125.0
12,A18,4,135.0,29.62962962962963
13,A19,1,28.0,35.714285714285715
14,A27,2,8.0,250.0
15,A28,1,97.0,10.309278350515465
16,A31,1,230.0,4.3478260869565215
17,A36,1,1.0,1000.0
18,A38,1,39.0,25.64102564102564
19,A39,1,12.0,83.33333333333333
20,A40,16,878.0,18.223234624145785
21,A41,167,9238.0,18.077505953669625
22,A46,255,10060.0,25.347912524850894
23,A48,16,228.0,70.17543859649122
24,A49,115,6092.0,18.877216021011165
25,A50,1,2.0,500.0
26,A51,2,66.0,30.303030303030305
27,A54,2,21.0,95.23809523809523
28,A60,8,125.0,64.0
29,A63,1,3.0,333.3333333333333
30,A69,19,1146.0,16.579406631762655
31,A81,3,89.0,33.70786516853933
32,A84,7,76.0,92.10526315789473
33,A85,1,34.0,29.41176470588235
34,A86,3,103.0,29.12621359223301
35,A87,10,158.0,63.29113924050633
36,A98,8,6.0,1333.3333333333333
37,B00,21,862.0,24.36194895591647
38,B01,5,113.0,44.24778761061947
39,B02,72,3728.0,19.313304721030043
40,B07,2,86.0,23.25581395348837
41,B08,5,745.0,6.7114093959731544
42,B15,4,46.0,86.95652173913044
43,B16,3,27.0,111.1111111111111
44,B17,2,356.0,5.617977528089887
45,B18,1,50.0,20.0
46,B19,1,12.0,83.33333333333333
47,B20,4,32.0,125.0
48,B22,1,19.0,52.63157894736842
49,B25,5,198.0,25.252525252525253
50,B27,26,982.0,26.476578411405296
51,B33,1,239.0,4.184100418410042
52,B34,137,5122.0,26.74736431081609
53,B37,11,991.0,11.099899091826439
54,B44,5,277.0,18.050541516245488
55,B45,1,11.0,90.9090909090909
56,B48,8,166.0,48.19277108433735
57,B50,10,53.0,188.67924528301887
58,B51,1,3.0,333.3333333333333
59,B55,2,3.0,666.6666666666666
60,B60,2,13.0,153.84615384615387
61,B67,3,50.0,60.0
62,B80,1,66.0,15.151515151515152
63,B83,1,6.0,166.66666666666666
64,B85,1,6.0,166.66666666666666
65,B86,10,1123.0,8.904719501335707
66,B89,1,1.0,1000.0
67,B99,119,3809.0,31.241795746915198
68,C00,3,313.0,9.584664536741213
