Land,Kreis,Gemeinde_x,Adresse_Name,Adresse_Name_Standort,Adresse_Strasse_Standort,Adresse_Haus-Nr._Standort,Adresse_Postleitzahl_Standort,Adresse_Ort_Standort,Telefonvorwahl/-nummer,E-Mail Adresse,Internet-Adresse,Traeger,T_Name,EinrichtungsTyp,Allgemeine_Notfallversorgung,Spezielle_Notfallversorgung,Spezielle_Notfallversorgung.1,Spezielle_Notfallversorgung.2,Spezielle_Notfallversorgung.3,Spezielle_Notfallversorgung.4,INSG,0100,0102,0103,0104,0105,0106,0107,0108,0109,0114,0150,0151,0152,0153,0154,0156,0200,0224,260,261,0300,0400,0410,0436,0500,0510,0524,0533,0600,0607,0610,0700,0706,0710,0800,0900,0910,1000,1004,1005,1006,1007,1009,1011,1012,1014,1028,1050,1051,1100,1136,1200,1300,1400,1410,1500,1513,1516,1518,1519,1520,1523,1536,1550,1551,1600,1700,1800,1900,2000,2021,2036,2050,2100,2118,2120,2136,2150,2200,2300,2309,2315,2316,2400,2402,2405,2406,2425,2500,2600,2700,2800,2810,2851,2852,2856,2900,2928,2930,2931,2950,2951,2952,2953,2954,2955,2956,2960,2961,3000,3060,3061,3100,3110,3160,3161,3200,3233,3300,3305,3350,3400,3415,3460,3500,3600,3601,3603,3610,3617,3618,3621,3622,3624,3626,3628,3650,3651,3652,3700,3750,3751,3752,3753,3754,3755,3756,3757,3758,3759,Gemeinde_y,latitude,longitude,x,y
1,56,39,Regio Kliniken GmbH,Regio Klinikum Pinneberg,Fahltskamp,74,25421,pinneberg,04121 798-9831,lutz.abeldt@sana.de,www.sana.de/regiokliniken,3,Regio Kliniken GmbH,2,2,2,2,2,2,2,317,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,39.0,,,,,,1.0,1.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,pinneberg,53.7278939,9.6979598,45,19
1,56,39,Regio Kliniken GmbH,Regio Tagesklinik Pinneberg,Fahltskamp,70,25421,pinneberg,04121 798-9831,lutz.abeldt@sana.de,www.sana.de/regiokliniken,3,Regio Kliniken GmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinneberg,53.7278939,9.6979598,45,19
1,57,9,Fachklinik Freudenholm-Ruhleben,Fachklinik Freudenholm-Ruhleben,Missionsweg,3,24306,plön,04328 18123,barre.marjenn@landesverein.de,landesverein.de/uebersicht-fachklinik-freudenholm-ruhleben,2,Landesverein für Innere Mission in Schleswig-Holstein,2,0,2,2,2,2,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plön,54.158082,10.41771,49,23
1,57,57,Psychiatrische Tagesklinik Plön,Psychiatrische Tagesklinik Plön,Rodomstorstraße,30,24306,plön,0431 9820597,b.marberg-bollmann@bruecke-sh.de,www.bruecke-sh.de/hier-sind-wir-fuer-sie-da/kreis-ploen/,2,Brücke Schleswig-Holstein gGmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plön,54.158082,10.41771,49,23
3,151,9,HELIOS Klinikum Gifhorn GmbH,HELIOS Klinikum Gifhorn - Stationäre Behandlung,Campus,6,38518,gifhorn,05371 87-0,sekretariat.gf@helios-gesundheit.de,www.helios-gesundheit.de,3,HELIOS Klinikum Gifhorn Gmbh,2,2,2,1,2,1,1,372,160.0,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,28.0,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gifhorn,52.5780612,10.6613448,37,25
3,153,8,Privat-Nervenklinik Dr. med. Fontheim,Tagesklinik  der DR. FONTHEIM Mentale Gesundheit in Goslar - Stationäre Behandlung,Bleicheweg,16,38640,goslar,05346 81-0,info@klinik-dr-fontheim.de,www.klinik-dr-fontheim.de,3,Privat-Nervenklinik Dr. med. Kurt Fontheim GmbH & Co. KG,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,goslar,51.9059936,10.4266284,32,23
3,153,17,Asklepios Harzklinik Goslar,Asklepios Harzklinik Goslar - Stationäre Behandlung,Kösliner Straße,12,38642,goslar,05321 44-0,goslar@asklepios.com,www.asklepios.com,3,Asklepios Harzkliniken GmbH,2,2,2,2,2,2,2,296,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,34.0,,,,,,,,,,,,,5.0,,,,,21.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,goslar,51.9059936,10.4266284,32,23
3,154,10,HELIOS St. Marienberg Klinik Helmstedt,Helios St. Marienberg Hauptstandort,Conringstraße,26,38350,helmstedt,05351 14-0,info.helmstedt@helios-gesundheit.de,www.helios-gesundheit.de/helmstedt,3,HELIOS St. Marienberg Klinik Helmstedt GmbH,2,2,2,2,2,2,2,300,93.0,,,,,,,,,,,,,,,,36.0,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,10.0,71.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helmstedt,52.2089226,11.0028882,34,27
3,154,13,AWO Psychiatriezentrum,Psychiatrische Tagesklinik Gifhorn - Stationäre Behandlung,Campus,7,38518,gifhorn,05353 90-0,poststelle@awo-apz.de,www.awo-psychiatriezentrum.de,2,AWO Niedersachsen gGmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gifhorn,52.5780612,10.6613448,37,25
