Unnamed: 0,Satzart,Gebietsstand,Regionalschlüssel,Gemeinde,Leer,latitude,longitude
0,40.0,20211231.0,1001,"Flensburg, Stadt",Flensburg,54.3567151,10.0522905
1,40.0,20211231.0,1002,"Kiel, Landeshauptstadt",Kiel,,
2,40.0,20211231.0,1003,"Lübeck, Hansestadt",Lübeck,53.071056,8.830532
3,40.0,20211231.0,1004,"Neumünster, Stadt",Neumünster,54.0757442,9.9815377
4,40.0,20211231.0,1051,Dithmarschen,Heide,54.1331231,9.0799113
5,40.0,20211231.0,1053,Herzogtum Lauenburg,Ratzeburg,53.5936648,10.6643262
6,40.0,20211231.0,1054,Nordfriesland,Husum,54.6591471,8.9982188
7,40.0,20211231.0,1055,Ostholstein,Eutin,54.1766629,10.84762
8,40.0,20211231.0,1056,Pinneberg,Elmshorn,53.7278939,9.6979598
9,40.0,20211231.0,1057,Plön,Plön,54.158082,10.41771
10,40.0,20211231.0,1058,Rendsburg-Eckernförde,Rendsburg,54.3277614,9.720465
11,40.0,20211231.0,1059,Schleswig-Flensburg,Schleswig,54.5797194,9.5331938
12,40.0,20211231.0,1060,Segeberg,Bad Segeberg,53.9232287,10.1612312
13,40.0,20211231.0,1061,Steinburg,Itzehoe,53.9409342,9.5157896
14,40.0,20211231.0,1062,Stormarn,Bad Oldesloe,53.7215127,10.3586145
15,40.0,20211231.0,2000,"Hamburg, Freie und Hansestadt",Hamburg,53.5909051,9.9753758
16,40.0,20211231.0,3101,"Braunschweig, Stadt",Braunschweig,52.4406457,10.8378594
17,40.0,20211231.0,3102,"Salzgitter, Stadt",Salzgitter,,
18,40.0,20211231.0,3103,"Wolfsburg, Stadt",Wolfsburg,50.8095172,8.769028
19,40.0,20211231.0,3151,Gifhorn,Gifhorn,52.5780612,10.6613448
20,40.0,20211231.0,3153,Goslar,Goslar,51.9059936,10.4266284
21,40.0,20211231.0,3154,Helmstedt,Helmstedt,52.2089226,11.0028882
22,40.0,20211231.0,3155,Northeim,Northeim,51.7643823,9.8583289
23,40.0,20211231.0,3157,Peine,Peine,52.3117289,10.251904
24,40.0,20211231.0,3158,Wolfenbüttel,Wolfenbüttel,52.1625283,10.5348215
25,40.0,20211231.0,3159,Göttingen,Göttingen,51.5328328,9.9351811
26,40.0,20211231.0,3241,Region Hannover,Hannover,52.4026852,9.8011978
27,40.0,20211231.0,3251,Diepholz,Diepholz,52.7478987,8.7615261
28,40.0,20211231.0,3252,Hameln-Pyrmont,Hameln,52.0895789,9.3875409
29,40.0,20211231.0,3254,Hildesheim,Hildesheim,52.1527188,9.9518083
30,40.0,20211231.0,3255,Holzminden,Holzminden,51.8989989,9.5741099
31,40.0,20211231.0,3256,Nienburg (Weser),Nienburg/Weser,52.6487602,9.2578105
32,40.0,20211231.0,3257,Schaumburg,Stadthagen,52.2013668,9.1946912
33,40.0,20211231.0,3351,Celle,Celle,52.624056,10.081052
34,40.0,20211231.0,3352,Cuxhaven,Cuxhaven,53.86878,8.698286
35,40.0,20211231.0,3353,Harburg,Winsen/Luhe,53.4562216,9.9872112
36,40.0,20211231.0,3354,Lüchow-Dannenberg,"Lüchow, Wendland",53.0479053,11.1762573
37,40.0,20211231.0,3355,Lüneburg,Lüneburg,53.248706,10.407855
38,40.0,20211231.0,3356,Osterholz,Osterholz-Scharmbeck,53.2604518,8.7435145
39,40.0,20211231.0,3357,Rotenburg (Wümme),Rotenburg/Wümme,53.1108906,9.4049292
40,40.0,20211231.0,3358,Heidekreis,Bad Fallingbostel,52.8217435,9.6601426
41,40.0,20211231.0,3359,Stade,Stade,53.599794,9.475438
42,40.0,20211231.0,3360,Uelzen,Uelzen,52.9840679,10.5385882
43,40.0,20211231.0,3361,Verden,Verden/Aller,52.9759701,9.1808391
44,40.0,20211231.0,3401,"Delmenhorst, Stadt",Delmenhorst,,
45,40.0,20211231.0,3402,"Emden, Stadt",Emden/Ostfriesland,51.0524575,13.7324213
46,40.0,20211231.0,3403,"Oldenburg (Oldenburg), Stadt",Oldenburg/Oldenburg,53.144191,8.2231132
47,40.0,20211231.0,3404,"Osnabrück, Stadt",Osnabrück,53.4704808,7.479232
48,40.0,20211231.0,3405,"Wilhelmshaven, Stadt",Wilhelmshaven,,
49,40.0,20211231.0,3451,Ammerland,Westerstede,53.2077356,8.0054054
50,40.0,20211231.0,3452,Aurich,Aurich,53.5122853,7.3915284
51,40.0,20211231.0,3453,Cloppenburg,Cloppenburg,52.8461339,8.0438783
52,40.0,20211231.0,3454,Emsland,Meppen,52.7590373,7.4564975
53,40.0,20211231.0,3455,Friesland,Jever,53.467993,8.0221914
54,40.0,20211231.0,3456,Grafschaft Bentheim,Nordhorn,52.4647463,7.0102561
55,40.0,20211231.0,3457,Leer,Leer/Ostfriesland,53.2050927,7.459464
56,40.0,20211231.0,3458,"Oldenburg, Kreis",Wildeshausen,51.8393458,9.2273787
57,40.0,20211231.0,3459,"Osnabrück, Kreis",Osnabrück,52.1342178,7.6829214
58,40.0,20211231.0,3460,Vechta,Vechta,52.7310691,8.2873162
59,40.0,20211231.0,3461,Wesermarsch,Brake/Unterweser,53.358829,8.3452307
60,40.0,20211231.0,3462,Wittmund,Wittmund,53.5364786,7.7462334
61,40.0,20211231.0,4011,"Bremen, Stadt",Bremen,53.0453419,8.7896417
62,40.0,20211231.0,4012,"Bremerhaven, Stadt",Bremerhaven,53.6081748,8.5949659
63,40.0,20211231.0,5111,"Düsseldorf, Stadt",Düsseldorf,51.3400318,7.0446029
64,40.0,20211231.0,5112,"Duisburg, Stadt",Duisburg,,
65,40.0,20211231.0,5113,"Essen, Stadt",Essen,52.5309563,13.4347415
66,40.0,20211231.0,5114,"Krefeld, Stadt",Krefeld,,
67,40.0,20211231.0,5116,"Mönchengladbach, Stadt",Mönchengladbach,,
68,40.0,20211231.0,5117,"Mülheim an der Ruhr, Stadt",Mülheim an der Ruhr,51.4254278,6.8229811
69,40.0,20211231.0,5119,"Oberhausen, Stadt",Oberhausen,48.7897588,8.8320674
70,40.0,20211231.0,5120,"Remscheid, Stadt",Remscheid,,
71,40.0,20211231.0,5122,"Solingen, Klingenstadt",Solingen,,
72,40.0,20211231.0,5124,"Wuppertal, Stadt",Wuppertal,52.1252476,11.6228691
73,40.0,20211231.0,5154,Kleve,Kleve,51.7895571,6.1376008
74,40.0,20211231.0,5158,Mettmann,Mettmann,51.2527778,6.9777778
75,40.0,20211231.0,5162,Rhein-Kreis Neuss,Neuss,51.175917,6.6599996
76,40.0,20211231.0,5166,Viersen,Viersen,51.2562118,6.3905476
77,40.0,20211231.0,5170,Wesel,Wesel,51.6576909,6.617087
78,40.0,20211231.0,5314,"Bonn, Stadt",Bonn,49.5865098,9.3759247
79,40.0,20211231.0,5315,"Köln, Stadt",Köln,52.3462965,14.5542111
80,40.0,20211231.0,5316,"Leverkusen, Stadt",Leverkusen,,
81,40.0,20211231.0,5334,Städteregion Aachen,Aachen,50.7611222,6.2055544
82,40.0,20211231.0,5358,Düren,Düren,50.8031684,6.4820806
83,40.0,20211231.0,5362,Rhein-Erft-Kreis,Bergheim,50.90334,6.763334
84,40.0,20211231.0,5366,Euskirchen,Euskirchen,50.6612623,6.7871219
85,40.0,20211231.0,5370,Heinsberg,Heinsberg,51.0654268,6.0984461
86,40.0,20211231.0,5374,Oberbergischer Kreis,Gummersbach,51.0346131,7.5243532
87,40.0,20211231.0,5378,Rheinisch-Bergischer Kreis,Bergisch Gladbach,51.0140372,7.1716132
88,40.0,20211231.0,5382,Rhein-Sieg-Kreis,Siegburg,50.7527986,7.3813038
89,40.0,20211231.0,5512,"Bottrop, Stadt",Bottrop,,
90,40.0,20211231.0,5513,"Gelsenkirchen, Stadt",Gelsenkirchen,,
91,40.0,20211231.0,5515,"Münster, Stadt",Münster,54.3208841,10.1346792
92,40.0,20211231.0,5554,Borken,Borken,51.8444777,6.8583277
93,40.0,20211231.0,5558,Coesfeld,Coesfeld,51.9458943,7.1691108
94,40.0,20211231.0,5562,Recklinghausen,Recklinghausen,51.6143815,7.1978546
95,40.0,20211231.0,5566,Steinfurt,Steinfurt,52.138683,7.3678356
96,40.0,20211231.0,5570,Warendorf,Warendorf,51.9532449,7.9912335
97,40.0,20211231.0,5711,"Bielefeld, Stadt",Bielefeld,52.1247566,8.6846369
98,40.0,20211231.0,5754,Gütersloh,Gütersloh,51.9063997,8.3782078
99,40.0,20211231.0,5758,Herford,Herford,52.1152245,8.6711118
100,40.0,20211231.0,5762,Höxter,Höxter,51.7938902,9.348855
101,40.0,20211231.0,5766,Lippe,Detmold,51.6711439,7.7165069
102,40.0,20211231.0,5770,Minden-Lübbecke,Minden,52.3214469,8.711927
103,40.0,20211231.0,5774,Paderborn,Paderborn,51.7177044,8.752653
104,40.0,20211231.0,5911,"Bochum, Stadt",Bochum,51.3276295,6.9679446
105,40.0,20211231.0,5913,"Dortmund, Stadt",Dortmund,,
106,40.0,20211231.0,5914,"Hagen, Stadt der FernUniversität",Hagen,,
107,40.0,20211231.0,5915,"Hamm, Stadt",Hamm,51.3724208,12.3889359
108,40.0,20211231.0,5916,"Herne, Stadt",Herne,,
109,40.0,20211231.0,5954,Ennepe-Ruhr-Kreis,Schwelm,51.3488485,7.2645377
110,40.0,20211231.0,5958,Hochsauerlandkreis,Meschede,51.3208264,8.268492
111,40.0,20211231.0,5962,Märkischer Kreis,Lüdenscheid,51.2734857,7.7274266
112,40.0,20211231.0,5966,Olpe,Olpe,51.029482,7.8435278
113,40.0,20211231.0,5970,Siegen-Wittgenstein,Siegen,50.9175961,8.137686
114,40.0,20211231.0,5974,Soest,Soest,51.5725501,8.1061259
115,40.0,20211231.0,5978,Unna,Unna,51.5348835,7.689014
116,40.0,20211231.0,6411,"Darmstadt, Wissenschaftsstadt",Darmstadt,,
117,40.0,20211231.0,6412,"Frankfurt am Main, Stadt",Frankfurt am Main,,
118,40.0,20211231.0,6413,"Offenbach am Main, Stadt",Offenbach am Main,50.1366991,8.5030571
119,40.0,20211231.0,6414,"Wiesbaden, Landeshauptstadt",Wiesbaden,,
120,40.0,20211231.0,6431,Bergstraße,Heppenheim,51.024246,13.7308192
121,40.0,20211231.0,6432,Darmstadt-Dieburg,Darmstadt,49.8533913,8.7673304
122,40.0,20211231.0,6433,Groß-Gerau,Groß-Gerau,49.914,8.4657
123,40.0,20211231.0,6434,Hochtaunuskreis,Bad Homburg v. d. Höhe,50.2853755,8.5036801
124,40.0,20211231.0,6435,Main-Kinzig-Kreis,Gelnhausen,50.2119793,9.1521552
125,40.0,20211231.0,6436,Main-Taunus-Kreis,Hofheim a. T.,50.099575,8.4264122
126,40.0,20211231.0,6437,Odenwaldkreis,Erbach,49.6634191,8.9663284
127,40.0,20211231.0,6438,"Offenbach, Kreis",Dietzenbach,50.6979989,8.4152269
128,40.0,20211231.0,6439,Rheingau-Taunus-Kreis,Bad Schwalbach,50.1339394,8.0701591
129,40.0,20211231.0,6440,Wetteraukreis,Friedberg (Hessen),50.3310534,8.9338049
130,40.0,20211231.0,6531,Gießen,Gießen,50.5808795,8.6938161
131,40.0,20211231.0,6532,Lahn-Dill-Kreis,Wetzlar,50.5602034,8.5002222
132,40.0,20211231.0,6533,Limburg-Weilburg,Limburg a.d.Lahn,50.4411601,8.1577966
133,40.0,20211231.0,6534,Marburg-Biedenkopf,Marburg,50.8330156,8.7332066
134,40.0,20211231.0,6535,Vogelsbergkreis,Lauterbach,50.6412263,9.258772
135,40.0,20211231.0,6611,"Kassel, documenta-Stadt",Kassel,,
136,40.0,20211231.0,6631,Fulda,Fulda,50.5542328,9.6770448
